first_name,last_name,phone,address,email
Neil,Jefferson,915-555-9273,545 Main Bedrock DC 9342,neiljefferson@fakeemail.com
Sam,Robinson,339-555-9324,275 Pine Smalltown WV 5542,samrobinson@fakeemail.com
Laura,Jones,485-555-8287,380 Pearl Thundera DC 9642,laurajones@fakeemail.com
Nicole,Brown,774-555-9654,124 Pearl Sunnydale AZ 7712,nicolebrown@fakeemail.com
Neil,Jenkins,668-555-8580,154 Hill Oldtown KY 2629,neiljenkins@fakeemail.com
Elizabeth,Jones,787-555-9666,127 Washington Balmora GA 9091,elizabethjones@fakeemail.com
Steve,Wilson,739-555-9680,364 Pine Winterfell NV 2223,stevewilson@fakeemail.com
Robert,Harris,488-555-8414,796 High Pythonville ME 9288,robertharris@fakeemail.com
Mary,Williams,167-555-6267,510 High Oldtown WI 5946,marywilliams@fakeemail.com
Laura,Smith,461-555-8845,105 Cedar Eerie IL 1982,laurasmith@fakeemail.com
Kurt,Williams,847-555-9937,451 Main Winterfell KY 8019,kurtwilliams@fakeemail.com
Sam,Robinson,925-555-7179,292 Oak Atlantis DC 5703,samrobinson@fakeemail.com
Laura,Martin,479-555-9852,610 Hill Gotham WV 6424,lauramartin@fakeemail.com
John,Jacobs,535-555-9783,697 Elm Quahog CA 6863,johnjacobs@fakeemail.com
Barbara,Patterson,660-555-5649,155 Cedar Faketown SD 2864,barbarapatterson@fakeemail.com
Michael,Jefferson,993-555-7067,204 Hill Sunnydale MT 3396,michaeljefferson@fakeemail.com
Joe,Wilson,892-555-6908,507 Maple Atlantis FL 2704,joewilson@fakeemail.com
Neil,Patterson,684-555-6957,569 High Lakeview AL 5535,neilpatterson@fakeemail.com
Barbara,Patterson,149-555-8124,208 Maple Dawnstar MA 2356,barbarapatterson@fakeemail.com
Michael,Davis,635-555-6143,954 Cedar Metropolis AR 2590,michaeldavis@fakeemail.com
John,Taylor,543-555-6960,547 Elm Eerie IL 3727,johntaylor@fakeemail.com
Joe,Doe,388-555-8454,932 Cedar Olympus WI 8013,joedoe@fakeemail.com
Joe,Taylor,111-555-5900,961 Lake Faketown WI 9636,joetaylor@fakeemail.com
Robert,Brown,448-555-8940,805 High Epicburg WY 7361,robertbrown@fakeemail.com
Tom,Wilson,436-555-5171,418 Pearl Oldtown NC 8173,tomwilson@fakeemail.com
Laura,Robinson,482-555-8767,242 High Pythonville FL 7531,laurarobinson@fakeemail.com
Robert,Stuart,202-555-6892,851 Main Faketown AZ 2846,robertstuart@fakeemail.com
Michael,Williams,898-555-9422,859 Hill South Park AZ 6722,michaelwilliams@fakeemail.com
Maria,Davis,397-555-7483,109 High Westworld SC 9485,mariadavis@fakeemail.com
Steve,Johnson,308-555-5052,593 Pine Bedrock KY 7685,stevejohnson@fakeemail.com
Dave,Jackson,648-555-8198,948 Oak Smalltown WA 6716,davejackson@fakeemail.com
Elizabeth,Moore,236-555-9954,716 Lake Atlantis LA 3125,elizabethmoore@fakeemail.com
James,Jones,283-555-6877,167 Park Lakeview RI 2465,jamesjones@fakeemail.com
Laura,Robinson,405-555-7514,475 Main Atlantis PA 6467,laurarobinson@fakeemail.com
Michael,Brown,628-555-8578,135 Pearl Valyria KS 3314,michaelbrown@fakeemail.com
Corey,Jacobs,480-555-9389,640 Park Mordor CA 1335,coreyjacobs@fakeemail.com
Neil,Taylor,212-555-5180,728 Park Mordor CT 9564,neiltaylor@fakeemail.com
